food_name,calories,protein,carbs,fat,fibre,sodium,glycaemic_index,serving_size_g,unit,meal_type,region,allergens,is_vegetarian,is_vegan,is_dairy,is_gluten
Palak Paneer,175.0,10.5,11.66666667,12.83333333,3.5,0.0,55.0,100.0,serving,lunch,North India,Milk,True,False,True,False
Chole Bhature,355.0,11.83333333,53.25,17.75,7.1,0.0,55.0,100.0,serving,lunch,North India,Gluten,True,False,False,True
Butter Chicken,320.0,22.85714286,9.142857143,18.28571429,1.828571429,859.0,55.0,100.0,serving,lunch,North India,Milk,False,False,True,False
Dal Tadka,233.0,13.98,40.775,5.825,5.825,0.0,55.0,100.0,serving,lunch,Pan-India,,True,False,False,False
Masala Dosa,335.9999999,6.719999998,47.99999998,11.52,2.879999999,0.0,55.0,100.0,serving,breakfast,South India,Gluten,True,False,False,True
Chicken Biryani,455.0,25.27777778,55.61111111,15.16666667,2.022222222,0.0,55.0,100.0,serving,lunch,Pan-India,,False,False,False,False
Samosa,229.9999999,4.599999999,27.59999999,9.199999998,4.599999999,0.0,55.0,100.0,serving,snacks,Pan-India,Gluten,True,False,False,True
Paneer Tikka,182.0,15.16666667,8.088888889,10.11111111,1.011111111,4.0,55.0,100.0,serving,lunch,Pan-India,Milk,True,False,True,False
Aloo Gobi,154.0,5.133333333,20.53333333,6.16,5.133333333,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Mutton Rogan Josh,385.0,27.43125,9.625,24.0625,0.9625,0.0,55.0,100.0,serving,dinner,Pan-India,,False,False,False,False
Idli,176.0,5.866666666,35.2,4.693333333,4.693333333,207.0,55.0,100.0,serving,breakfast,South India,Gluten,True,False,False,True
Upma,256.0,7.68,51.2,10.24,3.84,0.0,55.0,100.0,serving,breakfast,Pan-India,Gluten,True,False,False,True
Chicken Korma,327.9999999,23.42857142,11.24571428,18.74285714,0.9371428569,0.0,55.0,100.0,serving,lunch,Pan-India,Milk,False,False,True,False
Chana Masala,263.0,10.52,42.08,7.364,6.312,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Vegetable Biryani,342.0,9.12,62.7,11.4,2.28,0.0,55.0,100.0,serving,lunch,Pan-India,,True,False,False,False
Methi Thepla,225.0,6.136363636,30.68181818,9.204545454,4.090909091,0.0,55.0,100.0,serving,dinner,Pan-India,Gluten,True,False,False,True
Chicken Tikka,230.0,28.5,5.0,10.0,0.0,0.0,55.0,100.0,serving,lunch,Pan-India,,False,False,False,True
Aloo Paratha,313.9999999,5.382857141,44.85714284,8.971428568,3.588571427,0.0,55.0,100.0,serving,breakfast,North India,Gluten,True,False,False,True
Keema Matar,320.0,22.85714286,9.142857143,18.28571429,1.828571429,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Palak Chaat,183.0,5.083333333,25.41666667,7.116666667,3.05,0.0,55.0,100.0,serving,snacks,Pan-India,,True,False,False,False
Malai Kofta,407.0,8.14,15.2625,25.94625,3.0525,0.0,55.0,100.0,serving,dinner,Pan-India,Milk,True,False,True,False
Hyderabadi Biryani,514.0,31.28695652,67.04347826,20.11304348,3.352173913,0.0,55.0,100.0,serving,lunch,South India,,True,False,False,False
Saag Aloo,174.0,5.4375,27.1875,6.525,4.35,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Chicken Shawarma,342.0,27.84857142,14.65714286,17.58857143,2.931428571,0.0,55.0,100.0,serving,lunch,Pan-India,,False,False,False,False
Methi Paratha,236.0,6.156521739,35.91304348,8.208695652,4.104347826,0.0,55.0,100.0,serving,breakfast,Pan-India,Gluten,True,False,False,True
Kadhai Paneer,289.9999999,11.6,19.33333333,17.39999999,1.933333333,0.0,55.0,100.0,serving,lunch,Pan-India,Milk,True,False,True,False
Masoor Dal,195.0,13.0,32.5,3.25,5.416666667,0.0,55.0,100.0,serving,lunch,Pan-India,,True,False,False,False
Chicken Pakora,294.9999999,19.66666666,19.66666666,14.74999999,1.966666666,0.0,55.0,100.0,serving,lunch,Pan-India,,False,False,False,False
Chana Pulao,337.9999999,11.58857142,48.28571427,9.657142853,3.862857141,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Prawn Curry,393.0,29.475,12.41052632,25.85526316,2.068421053,0.0,55.0,100.0,serving,lunch,Pan-India,,False,False,False,False
Paneer Butter Masala,390.0,10.54054054,21.08108108,26.87837838,3.162162162,0.0,55.0,100.0,serving,lunch,Pan-India,Milk,True,False,True,False
Dhokla,180.0,7.2,36.0,4.8,6.0,0.0,55.0,100.0,serving,dinner,West India,Gluten,True,False,False,True
Palak Chana,260.0,12.48,36.4,8.32,6.24,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Vegetable Pulao,304.0,9.727999999,60.8,9.727999999,3.648,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Beef Curry,332.0,23.655,6.640000001,16.6,1.66,0.0,55.0,100.0,serving,lunch,Pan-India,,False,False,False,False
Kachori,232.0,5.272727273,36.90909091,8.436363636,3.163636364,0.0,55.0,100.0,serving,dinner,Pan-India,Gluten,True,False,False,True
Khichdi,234.0,11.7,40.95,7.02,5.85,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Butter Naan,300.0,7.0,50.0,8.0,1.0,0.0,55.0,100.0,serving,dinner,Pan-India,Gluten,True,False,True,True
Dal Makhani,329.9999999,14.14285714,42.42857141,9.428571425,6.599999998,243.0,55.0,100.0,serving,lunch,Pan-India,Milk,True,False,True,False
Mutton Biryani,482.0000002,24.10000001,53.02000002,17.35200001,2.892000001,0.0,55.0,100.0,serving,lunch,Pan-India,,False,False,False,False
Chutney Sandwich,165.0,5.5,27.5,5.5,3.3,0.0,55.0,100.0,serving,dinner,Pan-India,Gluten,True,False,False,True
Sev Puri,208.0,4.622222222,34.66666667,9.244444444,4.622222222,0.0,55.0,100.0,serving,dinner,Pan-India,Gluten,True,False,False,True
Shahi Paneer,434.9999998,11.6,17.39999999,24.64999999,2.899999999,0.0,55.0,100.0,serving,lunch,Pan-India,Milk,True,False,True,False
Goat Curry,385.0,26.95,11.55,24.0625,1.925,0.0,55.0,100.0,serving,lunch,Pan-India,,True,False,False,False
Dahi Puri,194.9999999,4.874999998,27.29999999,6.824999998,3.899999999,0.0,55.0,100.0,serving,dinner,Pan-India,Milk,True,False,True,False
Pesarattu,272.0,10.88,43.52,8.704,3.264,0.0,55.0,100.0,serving,dinner,South India,,True,False,False,False
Lassi,174.0,5.8,29.0,6.96,0.0,0.0,55.0,100.0,serving,dinner,Pan-India,Milk,True,False,True,False
Bhindi Masala,159.0,3.74117647,18.70588235,6.547058823,4.676470588,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Paneer Lababdar,357.0,15.3,18.36,25.5,2.04,0.0,55.0,100.0,serving,lunch,Pan-India,Milk,True,False,True,False
Chicken Vindaloo,358.0000001,23.72790699,8.325581398,18.31627908,1.66511628,0.0,55.0,100.0,serving,lunch,Pan-India,,False,False,False,False
Shahi Tukda,364.0,6.24,41.6,20.8,3.12,0.0,55.0,100.0,serving,dinner,Pan-India,Gluten,True,False,False,True
Lauki Kofta,302.0,10.06666667,25.16666667,18.12,5.033333334,0.0,55.0,100.0,serving,dinner,Pan-India,Milk,True,False,True,False
Chana Dal,241.0,15.33636364,38.34090909,5.477272728,6.572727273,0.0,55.0,100.0,serving,lunch,Pan-India,,True,False,False,False
Masala Puri,367.0,8.388571429,52.42857143,15.72857143,4.194285714,0.0,55.0,100.0,serving,dinner,Pan-India,Gluten,True,False,False,True
Aloo Methi,183.0,5.083333333,25.41666667,7.116666667,5.083333333,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Palak Paratha,245.0,6.391304348,37.2826087,9.586956522,5.326086957,0.0,55.0,100.0,serving,breakfast,Pan-India,Gluten,True,False,False,True
Methi Malai Murg,373.9999999,11.81052631,13.77894737,25.09736841,2.952631578,0.0,55.0,100.0,serving,dinner,Pan-India,Milk,True,False,True,False
Veg Kofta Curry,410.0,10.25,25.625,26.1375,6.15,0.0,55.0,100.0,serving,lunch,Pan-India,Milk,True,False,True,False
Suji Halwa,252.0,5.04,40.32,8.064,7.056,0.0,55.0,100.0,serving,dinner,Pan-India,Gluten,True,False,False,True
Veg Pulao,337.0,10.11,61.78333334,10.11,4.493333334,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Besan Ladoo,316.0,7.373333333,47.4,12.64,3.16,0.0,55.0,100.0,serving,dinner,Pan-India,Gluten,True,False,False,True
Chilla,147.9999999,7.89333333,19.73333332,3.946666665,2.959999999,0.0,55.0,100.0,serving,dinner,Pan-India,Gluten,True,False,False,True
Chana Tikki,239.9999999,6.719999998,33.59999999,7.679999998,4.799999998,0.0,55.0,100.0,serving,dinner,Pan-India,Gluten,True,False,False,True
Paneer Bhurji,314.0,22.42857143,20.18571429,20.18571429,2.242857143,0.0,55.0,100.0,serving,lunch,Pan-India,Milk,True,False,True,False
Tomato Rice,362.0,8.274285715,62.05714286,10.34285714,3.102857143,677.0,55.0,100.0,serving,lunch,Pan-India,,True,False,False,False
Dal Fry,205.0,9.761904761,29.28571428,4.88095238,4.88095238,246.0,55.0,100.0,serving,lunch,Pan-India,,True,False,False,False
Pulao,333.0,8.325,57.234375,9.365625,3.121875,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Khoya Mawa,457.0,9.14,57.125,28.5625,4.57,0.0,55.0,100.0,serving,dinner,Pan-India,Milk,True,False,True,False
Pakora,307.0,8.186666666,35.81666667,15.35,4.093333333,0.0,55.0,100.0,serving,snacks,Pan-India,Gluten,True,False,False,True
Boondi Raita,154.0,4.277777777,17.11111111,5.133333333,2.566666666,0.0,55.0,100.0,serving,dinner,Pan-India,Milk,True,False,True,False
Sabudana Khichdi,327.0000001,5.605714288,56.05714288,6.540000003,1.868571429,0.0,55.0,100.0,serving,dinner,Pan-India,Gluten (if cross-contaminated),True,False,False,True
Vegetable Khichdi,280.0,13.44,44.8,8.96,5.6,0.0,55.0,100.0,serving,dinner,Pan-India,Gluten (if cross-contaminated),True,False,False,True
Laal Maas,410.0,25.625,10.25,26.1375,2.05,0.0,55.0,100.0,serving,dinner,Pan-India,Dairy,True,False,True,False
Gajar Halwa,299.0,6.407142857,37.375,16.01785714,5.339285714,0.0,55.0,100.0,serving,dinner,Pan-India,Dairy,True,False,True,False
Malai Sandwich,256.0,7.168,30.72,12.288,4.096,0.0,55.0,100.0,serving,dinner,Pan-India,Dairy,True,False,True,False
Pineapple Raita,158.0,4.213333333,23.17333333,6.32,5.266666667,0.0,55.0,100.0,serving,dinner,Pan-India,Dairy,True,False,True,False
Shrikhand,319.0,6.38,42.53333333,15.95,2.126666667,0.0,55.0,100.0,serving,dinner,Pan-India,Dairy,True,False,True,False
Chole Tikki,263.9999999,9.777777775,37.15555555,7.82222222,3.91111111,0.0,55.0,100.0,serving,dinner,Pan-India,Gluten (in tikki),True,False,False,True
Masala Khichdi,308.0,8.6625,48.125,7.7,5.775,0.0,55.0,100.0,serving,dinner,Pan-India,Gluten (if cross-contaminated),True,False,False,True
Patra,212.0,5.3,31.8,8.48,4.24,0.0,55.0,100.0,serving,dinner,Pan-India,Gluten,True,False,False,True
Idli Sambar,258.0,6.192,46.44,6.192,5.16,0.0,55.0,100.0,serving,breakfast,South India,Gluten,True,False,False,True
Moong Dal Chilla,174.9999999,11.66666666,24.30555555,2.916666665,4.861111109,0.0,55.0,100.0,serving,lunch,Pan-India,Legumes,True,False,False,False
Carrot Paratha,236.0,6.156521739,35.91304348,8.208695652,5.130434783,0.0,55.0,100.0,serving,breakfast,Pan-India,Gluten,True,False,False,True
Kaju Katli,295.0,5.086206896,35.60344827,15.25862069,4.068965517,0.0,55.0,100.0,serving,dinner,Pan-India,Nuts,True,False,True,False
Veg Hakka Noodles,356.0,7.12,55.94285714,12.20571429,4.068571429,0.0,55.0,100.0,serving,dinner,Pan-India,Gluten,True,False,False,True
Shrimp Korma,328.0000001,22.16216217,10.63783784,17.72972974,2.659459461,0.0,55.0,100.0,serving,dinner,Pan-India,Shellfish,True,False,False,False
Chana Chaat,206.0,7.490909091,28.09090909,5.618181818,4.681818182,0.0,55.0,100.0,serving,snacks,Pan-India,Legumes,True,False,False,False
Barfi,315.0,5.625,45.0,16.875,4.5,0.0,55.0,100.0,serving,dinner,Pan-India,Dairy,True,False,True,False
Dal Bhati,271.0,10.84,36.13333334,6.323333334,4.516666667,0.0,55.0,100.0,serving,lunch,Pan-India,Gluten,True,False,False,True
Vegetable Dosa,339.9999999,7.771428569,48.57142856,11.65714285,3.885714285,0.0,55.0,100.0,serving,breakfast,Pan-India,Gluten,True,False,False,True
Chole Rice,349.0,11.02105263,50.51315789,8.265789473,4.592105263,0.0,55.0,100.0,serving,lunch,Pan-India,Gluten,True,False,False,True
Pineapple Kesari,290.0,5.37037037,48.33333333,10.74074074,4.296296296,0.0,55.0,100.0,serving,dinner,Pan-India,Dairy,True,False,True,False
Vegetable Samosa,221.0,5.022727273,30.13636364,9.040909091,4.018181818,0.0,55.0,100.0,serving,snacks,Pan-India,Gluten,True,False,False,True
Kesar Pista Kulfi,345.9999999,5.931428569,39.54285713,17.79428571,2.965714285,0.0,55.0,100.0,serving,dinner,Pan-India,Dairy,True,False,True,False
Aloo Gajar Methi,220.0,7.0,30.0,8.0,5.0,0.0,55.0,100.0,serving,dinner,Pan-India,Gluten (if paratha is served),True,False,False,True
Masala Wontons,300.0,8.571428572,42.85714286,12.85714286,3.214285714,0.0,55.0,100.0,serving,dinner,Pan-India,Gluten,True,False,False,True
Chana Chole,318.0,12.72,47.7,10.6,6.36,0.0,55.0,100.0,serving,dinner,Pan-India,Legumes,True,False,False,False
Apple Kheer,308.0,5.5,49.5,13.2,2.2,0.0,55.0,100.0,serving,dinner,Pan-India,Dairy,True,False,True,False
Papdi Chaat,241.0000001,4.820000002,33.74000001,8.676000003,3.856000001,0.0,55.0,100.0,serving,snacks,Pan-India,Gluten,True,False,False,True
Vegetable Pakora,296.0,7.144827586,40.82758621,12.24827586,5.103448276,0.0,55.0,100.0,serving,snacks,Pan-India,Gluten,True,False,False,True
Laal Gobi Sabzi,188.0,4.177777778,26.11111111,8.355555556,5.222222222,0.0,55.0,100.0,serving,lunch,Pan-India,,True,False,False,False
Turai (Ridge Gourd) Sabzi,137.0,3.425,22.83333333,5.708333333,4.566666666,0.0,55.0,100.0,serving,lunch,Pan-India,,True,False,False,False
Amaranth Leaves (Chaulai) Sabzi,86.99999997,2.899999999,11.6,2.899999999,4.833333332,0.0,55.0,100.0,serving,lunch,Pan-India,,True,False,False,False
Kaddu Ki Sabzi (Pumpkin),168.0,4.48,22.4,8.96,3.36,0.0,55.0,100.0,serving,lunch,Pan-India,,True,False,False,False
Cluster Beans (Gawar) Sabzi,183.0,5.382352941,26.91176471,7.535294118,6.45882353,0.0,55.0,100.0,serving,lunch,Pan-India,,True,False,False,False
Bottle Gourd (lauki) with Moong Dal,206.0,7.490909091,28.09090909,5.618181818,3.745454546,0.0,55.0,100.0,serving,lunch,Pan-India,Legumes,True,False,False,False
Okra (Bhindi) Masala,123.0,2.05,8.200000001,4.783333334,2.733333334,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Carrot and Peas Sabzi,162.0,5.0625,22.275,6.075,5.0625,0.0,55.0,100.0,serving,lunch,Pan-India,,True,False,False,False
Chili Paneer with Capsicum,290.0,13.92,23.2,20.88,3.48,0.0,55.0,100.0,serving,lunch,Pan-India,Dairy,True,False,True,False
Brinjal (Baingan) Bharta,166.0,3.161904762,11.85714286,7.904761905,5.533333333,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Methi Thepla (Fenugreek Flatbread),233.0000001,7.76666667,29.12500001,8.737500004,5.825000003,0.0,55.0,100.0,serving,breakfast,Pan-India,Gluten,True,False,False,True
Gobi (Cauliflower) Masala,175.9999999,5.557894735,18.52631578,7.410526313,4.631578945,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Palak (Spinach) and Toor Dal,185.0,8.40909091,21.02272728,4.204545455,5.886363637,0.0,55.0,100.0,serving,lunch,Pan-India,Legumes,True,False,False,False
Shorba (Spinach Soup),106.0,3.533333332,15.9,1.766666666,4.416666665,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Arbi (Colocasia) Masala,188.0,4.700000001,22.56,7.520000002,3.760000001,0.0,55.0,100.0,serving,dinner,Pan-India,,True,False,False,False
Chow Chow (Chayote) Sabzi,183.0,6.8625,27.45,8.00625,5.71875,0.0,55.0,100.0,serving,lunch,Pan-India,,True,False,False,False
